,FIPS,democrat,republican,prcpMm,prcpMm1015,shareRep,year,shareDem,avgTemp,avgTempPast,tempDiff,rainDiff,booYear,booRain,booPastRain
31,1063.0,4013.0,838.0,0.65,1.90833333333333,0.11444960393335155,2016,0.5480742966402622,17.275,11.116666666666665,6.158333333333333,-1.2583333333333302,True,True,True
31,1063.0,4521.0,804.0,1.90833333333333,1.90833333333333,0.15056179775280898,2012,0.846629213483146,11.116666666666665,11.116666666666665,0.0,0.0,False,True,True
32,1065.0,4775.0,3173.0,0.0,1.69444444444444,0.25522844272844275,2016,0.3840894465894466,19.3,11.887499999999985,7.412500000000016,-1.69444444444444,True,False,True
32,1065.0,5411.0,3210.0,1.69444444444444,1.69444444444444,0.3713988198542173,2012,0.6260557676732617,11.887499999999985,11.887499999999985,0.0,0.0,False,True,True
33,1067.0,3083.0,5628.0,0.0,0.0,0.6424657534246575,2012,0.3519406392694064,12.6625,12.6625,0.0,0.0,False,False,False
33,1067.0,2292.0,5632.0,0.0,0.0,0.4413447222004545,2016,0.17960974845231564,19.200000000000003,12.6625,6.537500000000003,0.0,True,False,False
35,1071.0,5822.0,14439.0,0.7043650793650791,0.7043650793650791,0.7017057880157458,2012,0.282937260047626,9.383333333333315,9.383333333333315,0.0,0.0,False,True,True
35,1071.0,3673.0,16672.0,0.0,0.7043650793650791,0.45087486816128947,2016,0.09933201719988101,15.3,9.383333333333315,5.916666666666686,-0.7043650793650791,True,False,True
37,1075.0,1036.0,5823.0,0.1,0.825,0.5342691990090834,2016,0.09505459216441875,19.15,11.374999999999986,7.775000000000013,-0.725,True,False,True
37,1075.0,1646.0,5457.0,0.825,0.825,0.7615126988557075,2012,0.22969578565447948,11.374999999999986,11.374999999999986,0.0,0.0,False,True,True
39,1079.0,5069.0,8874.0,0.629166666666667,0.629166666666667,0.6288265306122449,2012,0.35919784580498865,9.370833333333334,9.370833333333334,0.0,0.0,False,True,True
