state,date,outside
AK,2020-03-03,0.0121
AZ,2020-03-03,0.0137
AR,2020-03-03,0.027999999999999997
CA,2020-03-03,0.01
CO,2020-03-03,0.0097
CT,2020-03-03,0.011000000000000001
DE,2020-03-03,0.0115
DC,2020-03-03,0.0111
FL,2020-03-03,0.0107
GA,2020-03-03,0.0191
HI,2020-03-03,-0.0015199999999999999
ID,2020-03-03,0.0231
IL,2020-03-03,0.0174
IN,2020-03-03,0.0115
IA,2020-03-03,0.0234
KS,2020-03-03,0.0311
KY,2020-03-03,0.0119
LA,2020-03-03,0.0153
ME,2020-03-03,0.005520000000000001
MD,2020-03-03,0.006809999999999999
MA,2020-03-03,0.006809999999999999
MI,2020-03-03,0.0016
MN,2020-03-03,0.0113
MS,2020-03-03,0.0289
MO,2020-03-03,0.032
MT,2020-03-03,0.0154
NE,2020-03-03,0.0222
NV,2020-03-03,0.008320000000000001
NH,2020-03-03,0.00233
NJ,2020-03-03,0.0071
NM,2020-03-03,0.0253
NY,2020-03-03,8.669999999999999e-05
NC,2020-03-03,0.0216
ND,2020-03-03,0.0112
OH,2020-03-03,0.009340000000000001
OK,2020-03-03,0.0296
OR,2020-03-03,0.0112
PA,2020-03-03,0.00557
RI,2020-03-03,0.0115
SC,2020-03-03,0.0208
SD,2020-03-03,0.0183
TN,2020-03-03,0.0161
TX,2020-03-03,0.025
UT,2020-03-03,0.0096
VT,2020-03-03,-0.00505
VA,2020-03-03,0.0115
WA,2020-03-03,0.00982
WV,2020-03-03,0.00536
WI,2020-03-03,0.0137
WY,2020-03-03,0.00639
AL,2020-03-04,0.0159
AK,2020-03-04,0.0121
AZ,2020-03-04,0.0137
AR,2020-03-04,0.027999999999999997
CA,2020-03-04,0.008409999999999999
CO,2020-03-04,0.0097
CT,2020-03-04,0.0126
DE,2020-03-04,0.0115
DC,2020-03-04,0.0127
FL,2020-03-04,0.0107
GA,2020-03-04,0.0159
HI,2020-03-04,-0.0015199999999999999
ID,2020-03-04,0.0231
IL,2020-03-04,0.0206
IN,2020-03-04,0.0163
IA,2020-03-04,0.0234
KS,2020-03-04,0.0327
KY,2020-03-04,0.0135
LA,2020-03-04,0.0137
ME,2020-03-04,0.00392
MD,2020-03-04,0.008409999999999999
MA,2020-03-04,0.006809999999999999
MI,2020-03-04,0.0112
MN,2020-03-04,0.0113
MS,2020-03-04,0.0257
MO,2020-03-04,0.0352
MT,2020-03-04,0.0138
NE,2020-03-04,0.0238
NV,2020-03-04,0.008320000000000001
NH,2020-03-04,0.0039299999999999995
NJ,2020-03-04,0.0087
NM,2020-03-04,0.0253
NY,2020-03-04,8.669999999999999e-05
NC,2020-03-04,0.02
ND,2020-03-04,0.0112
OH,2020-03-04,0.0109
OK,2020-03-04,0.0296
OR,2020-03-04,0.0112
PA,2020-03-04,0.00557
RI,2020-03-04,0.0115
SC,2020-03-04,0.0176
SD,2020-03-04,0.0183
TN,2020-03-04,0.0161
TX,2020-03-04,0.0219
UT,2020-03-04,0.0096
VT,2020-03-04,-0.00345
VA,2020-03-04,0.0115
WA,2020-03-04,0.00822
WV,2020-03-04,0.00536
WI,2020-03-04,0.0153
WY,2020-03-04,0.00639
AL,2020-03-05,0.0131
AK,2020-03-05,0.0107
AZ,2020-03-05,0.0137
AR,2020-03-05,0.027999999999999997
CA,2020-03-05,0.00698
CO,2020-03-05,0.0097
CT,2020-03-05,0.013999999999999999
DE,2020-03-05,0.0129
DC,2020-03-05,0.0127
FL,2020-03-05,0.0093
GA,2020-03-05,0.0116
HI,2020-03-05,-0.0015199999999999999
ID,2020-03-05,0.0231
IL,2020-03-05,0.022000000000000002
IN,2020-03-05,0.0191
IA,2020-03-05,0.0234
KS,2020-03-05,0.0327
KY,2020-03-05,0.0164
LA,2020-03-05,0.0151
ME,2020-03-05,0.0125
MD,2020-03-05,0.00984
MA,2020-03-05,0.00824
MI,2020-03-05,0.0169
MN,2020-03-05,0.0113
MS,2020-03-05,0.0243
MO,2020-03-05,0.0352
MT,2020-03-05,0.0138
NE,2020-03-05,0.0252
NV,2020-03-05,0.008320000000000001
NH,2020-03-05,0.00824
NJ,2020-03-05,0.0101
NM,2020-03-05,0.0253
NY,2020-03-05,0.00296
NC,2020-03-05,0.0186
ND,2020-03-05,0.0112
OH,2020-03-05,0.0153
OK,2020-03-05,0.0296
OR,2020-03-05,0.0112
PA,2020-03-05,0.00845
RI,2020-03-05,0.0129
SC,2020-03-05,0.0119
SD,2020-03-05,0.0169
TN,2020-03-05,0.0175
TX,2020-03-05,0.0219
UT,2020-03-05,0.0096
VT,2020-03-05,0.0023
VA,2020-03-05,0.0115
WA,2020-03-05,0.00391
WV,2020-03-05,0.00967
WI,2020-03-05,0.0153
WY,2020-03-05,0.00639
AL,2020-03-06,0.0131
AK,2020-03-06,0.006529999999999999
AZ,2020-03-06,0.0137
AR,2020-03-06,0.0266
CA,2020-03-06,0.0055899999999999995
CO,2020-03-06,0.008320000000000001
CT,2020-03-06,0.0127
DE,2020-03-06,0.0102
DC,2020-03-06,0.00993
FL,2020-03-06,0.00792
GA,2020-03-06,0.0116
HI,2020-03-06,-0.0029100000000000003
ID,2020-03-06,0.0217
IL,2020-03-06,0.022000000000000002
IN,2020-03-06,0.0178
IA,2020-03-06,0.0248
KS,2020-03-06,0.0327
KY,2020-03-06,0.015
LA,2020-03-06,0.0165
ME,2020-03-06,0.0125
MD,2020-03-06,0.008459999999999999
MA,2020-03-06,0.00686
MI,2020-03-06,0.0156
MN,2020-03-06,0.00992
MS,2020-03-06,0.0229
MO,2020-03-06,0.0352
MT,2020-03-06,0.0138
NE,2020-03-06,0.0238
NV,2020-03-06,0.006940000000000001
NH,2020-03-06,0.00962
NJ,2020-03-06,0.007370000000000001
NM,2020-03-06,0.0239
NY,2020-03-06,0.00296
NC,2020-03-06,0.0172
ND,2020-03-06,0.0112
OH,2020-03-06,0.0153
OK,2020-03-06,0.0296
OR,2020-03-06,0.008459999999999999
PA,2020-03-06,0.0070599999999999994
RI,2020-03-06,0.0102
SC,2020-03-06,0.0119
SD,2020-03-06,0.0169
TN,2020-03-06,0.0175
TX,2020-03-06,0.0219
UT,2020-03-06,0.00821
VT,2020-03-06,0.0036799999999999997
VA,2020-03-06,0.0101
WA,2020-03-06,-0.00301
WV,2020-03-06,0.00829
WI,2020-03-06,0.0153
WY,2020-03-06,0.0050100000000000006
AL,2020-03-07,0.0106
AK,2020-03-07,0.00403
AZ,2020-03-07,0.0137
AR,2020-03-07,0.0241
CA,2020-03-07,0.000583
CO,2020-03-07,0.0108
CT,2020-03-07,0.0102
DE,2020-03-07,0.0102
DC,2020-03-07,0.00993
FL,2020-03-07,0.00541
GA,2020-03-07,0.00912
HI,2020-03-07,-0.0029100000000000003
ID,2020-03-07,0.0192
IL,2020-03-07,0.022000000000000002
IN,2020-03-07,0.0178
IA,2020-03-07,0.0248
KS,2020-03-07,0.0327
KY,2020-03-07,0.015
LA,2020-03-07,0.0165
ME,2020-03-07,0.01
MD,2020-03-07,0.008459999999999999
MA,2020-03-07,0.00686
MI,2020-03-07,0.0156
MN,2020-03-07,0.00992
MS,2020-03-07,0.0204
MO,2020-03-07,0.0327
MT,2020-03-07,0.0113
NE,2020-03-07,0.0213
NV,2020-03-07,0.00443
NH,2020-03-07,0.0071200000000000005
NJ,2020-03-07,0.007370000000000001
NM,2020-03-07,0.0239
NY,2020-03-07,0.0054600000000000004
NC,2020-03-07,0.0172
ND,2020-03-07,0.0112
OH,2020-03-07,0.0153
OK,2020-03-07,0.0271
OR,2020-03-07,0.00595
PA,2020-03-07,0.0070599999999999994
RI,2020-03-07,0.00765
SC,2020-03-07,0.00937
SD,2020-03-07,0.0169
TN,2020-03-07,0.0175
TX,2020-03-07,0.0193
UT,2020-03-07,0.00571
VT,2020-03-07,0.0036799999999999997
VA,2020-03-07,0.0101
WA,2020-03-07,-0.008020000000000001
WV,2020-03-07,0.00829
WI,2020-03-07,0.0153
WY,2020-03-07,0.007520000000000001
AL,2020-03-08,0.007659999999999999
AK,2020-03-08,0.00403
AZ,2020-03-08,0.0166
AR,2020-03-08,0.0241
CA,2020-03-08,0.000583
CO,2020-03-08,0.0108
CT,2020-03-08,0.00725
DE,2020-03-08,0.0102
DC,2020-03-08,0.00702
FL,2020-03-08,-0.00040199999999999996
GA,2020-03-08,0.00621
HI,2020-03-08,-0.0029100000000000003
ID,2020-03-08,0.0163
IL,2020-03-08,0.0191
IN,2020-03-08,0.0178
IA,2020-03-08,0.0248
KS,2020-03-08,0.0297
KY,2020-03-08,0.015
LA,2020-03-08,0.0165
ME,2020-03-08,0.01
MD,2020-03-08,0.008459999999999999
MA,2020-03-08,0.00395
MI,2020-03-08,0.0156
MN,2020-03-08,0.00992
MS,2020-03-08,0.0204
MO,2020-03-08,0.0298
MT,2020-03-08,0.008409999999999999
NE,2020-03-08,0.0213
NV,2020-03-08,0.00443
NH,2020-03-08,0.0071200000000000005
NJ,2020-03-08,0.00447
NM,2020-03-08,0.0181
NY,2020-03-08,0.0054600000000000004
NC,2020-03-08,0.0143
ND,2020-03-08,0.0112
OH,2020-03-08,0.0153
OK,2020-03-08,0.0183
OR,2020-03-08,0.00305
PA,2020-03-08,0.00997
RI,2020-03-08,0.00765
SC,2020-03-08,0.00647
SD,2020-03-08,0.0169
TN,2020-03-08,0.0175
TX,2020-03-08,0.0164
UT,2020-03-08,0.0115
VT,2020-03-08,0.0036799999999999997
VA,2020-03-08,0.0101
WA,2020-03-08,-0.0138
WV,2020-03-08,0.00829
WI,2020-03-08,0.0124
WY,2020-03-08,0.0133
AL,2020-03-09,0.00935
AK,2020-03-09,0.000643
AZ,2020-03-09,0.0166
AR,2020-03-09,0.0191
CA,2020-03-09,-0.0028
CO,2020-03-09,0.0125
CT,2020-03-09,0.00725
DE,2020-03-09,0.0102
DC,2020-03-09,0.00533
FL,2020-03-09,-0.00040199999999999996
GA,2020-03-09,0.0079
HI,2020-03-09,-0.0046
ID,2020-03-09,0.0163
