state,date,employment
OK,2020-01-20,0.00257
OR,2020-01-20,0.00218
PA,2020-01-20,0.00101
RI,2020-01-20,0.00345
SC,2020-01-20,0.0024
SD,2020-01-20,0.0121
TN,2020-01-20,0.0014
TX,2020-01-20,0.00101
UT,2020-01-20,0.00321
VT,2020-01-20,-0.00045700000000000005
VA,2020-01-20,0.000536
WA,2020-01-20,0.00556
WV,2020-01-20,0.00486
WI,2020-01-20,0.00275
WY,2020-01-20,0.00486
AL,2020-01-21,0.000926
AK,2020-01-21,0.00298
AZ,2020-01-21,-0.000319
AR,2020-01-21,-0.00394
CA,2020-01-21,0.0035299999999999997
CO,2020-01-21,0.00325
CT,2020-01-21,0.0018899999999999998
DE,2020-01-21,0.0007480000000000001
DC,2020-01-21,0.00253
FL,2020-01-21,0.0033
GA,2020-01-21,0.00144
HI,2020-01-21,0.0116
ID,2020-01-21,0.0035299999999999997
IL,2020-01-21,0.0018
IN,2020-01-21,0.0038
IA,2020-01-21,0.00288
KS,2020-01-21,0.0022600000000000003
KY,2020-01-21,0.00137
LA,2020-01-21,0.00214
ME,2020-01-21,0.00187
MD,2020-01-21,0.00132
MA,2020-01-21,0.0024100000000000002
MI,2020-01-21,0.00386
MN,2020-01-21,0.00271
MS,2020-01-21,0.00193
MO,2020-01-21,0.0013
MT,2020-01-21,0.00496
NE,2020-01-21,0.000276
NV,2020-01-21,0.0019
NH,2020-01-21,0.00323
NJ,2020-01-21,0.0022
NM,2020-01-21,0.004220000000000001
NY,2020-01-21,0.00323
NC,2020-01-21,0.00146
ND,2020-01-21,0.007559999999999999
OH,2020-01-21,0.00106
OK,2020-01-21,0.003
OR,2020-01-21,0.0030800000000000003
PA,2020-01-21,0.00135
RI,2020-01-21,0.00387
SC,2020-01-21,0.0028699999999999997
SD,2020-01-21,0.0118
TN,2020-01-21,0.00218
TX,2020-01-21,0.0022
UT,2020-01-21,0.00392
VT,2020-01-21,-3.04e-05
VA,2020-01-21,0.000594
WA,2020-01-21,0.00628
WV,2020-01-21,0.00513
WI,2020-01-21,0.00331
WY,2020-01-21,0.00585
AL,2020-01-22,0.0016
AK,2020-01-22,0.0034700000000000004
AZ,2020-01-22,0.00021899999999999998
AR,2020-01-22,-0.0023
CA,2020-01-22,0.0044399999999999995
CO,2020-01-22,0.00387
CT,2020-01-22,0.00227
DE,2020-01-22,0.00159
DC,2020-01-22,0.00325
FL,2020-01-22,0.00415
GA,2020-01-22,0.0021
HI,2020-01-22,0.013000000000000001
ID,2020-01-22,0.00526
IL,2020-01-22,0.00253
IN,2020-01-22,0.00415
IA,2020-01-22,0.00359
KS,2020-01-22,0.00165
KY,2020-01-22,0.0022
LA,2020-01-22,0.0032600000000000003
ME,2020-01-22,0.00225
MD,2020-01-22,0.0018899999999999998
MA,2020-01-22,0.0026899999999999997
MI,2020-01-22,0.004520000000000001
MN,2020-01-22,0.0029
MS,2020-01-22,0.00218
MO,2020-01-22,0.00135
MT,2020-01-22,0.00526
NE,2020-01-22,-0.0011099999999999999
NV,2020-01-22,0.00251
NH,2020-01-22,0.0036799999999999997
NJ,2020-01-22,0.00271
NM,2020-01-22,0.00591
NY,2020-01-22,0.00381
NC,2020-01-22,0.0016
ND,2020-01-22,0.00922
OH,2020-01-22,0.00125
OK,2020-01-22,0.0033200000000000005
OR,2020-01-22,0.00392
PA,2020-01-22,0.0016600000000000002
RI,2020-01-22,0.0041600000000000005
SC,2020-01-22,0.00329
SD,2020-01-22,0.011000000000000001
TN,2020-01-22,0.0028899999999999998
TX,2020-01-22,0.00335
UT,2020-01-22,0.004520000000000001
VT,2020-01-22,0.00046399999999999995
VA,2020-01-22,0.0006360000000000001
WA,2020-01-22,0.0068
WV,2020-01-22,0.0052
WI,2020-01-22,0.00374
WY,2020-01-22,0.006679999999999999
AL,2020-01-23,0.00225
AK,2020-01-23,0.0038799999999999998
AZ,2020-01-23,0.000826
AR,2020-01-23,-0.0005809999999999999
CA,2020-01-23,0.00527
CO,2020-01-23,0.004370000000000001
CT,2020-01-23,0.0026
